sample,NPSS1,NPSS2,NPSS3,NPSS4,NPSS5,NPSS6
ASV3666,0,0,0,0,0.000311403012116408,0
ASV3696,0,0,0,0,0,0
ASV3917,0,0,0,0.000311403012116408,0,0
ASV3958,0,0,0,0,0,0
ASV3964,0,0,0,0,0,0
ASV4076,0,0,0,0,0,0
ASV4081,0,0,0,0,0,0
ASV4205,0,0,0,0,0,0
ASV4323,0,0,0,0,0,0
ASV4358,0,0,0,0,0,0
ASV4528,0,0,0,0,0,0
ASV4629,0,0,0,0,0,0
ASV4633,0,0,0,0,0,0
ASV4646,0,0,0,0,0,0
ASV4779,0,0,0,0,0,0
ASV4784,0,0,0,0,0,0
ASV4812,0,0,0,0,0,0
ASV4882,0,0,0,0,0,0
ASV4942,0.000198165553164987,0,0,0,0,0
ASV4982,0,0,0,0,0,0
ASV5012,0,0,0,0,0,0
ASV5018,0,0,0,0,0,0
ASV5019,0,0,0,0,0,0
ASV5075,0,0,0,0,0,0
ASV5091,0,0,0,0,0,0
ASV5122,0,0,0,0,0,0
ASV5167,0,0.000198165553164987,0,0,0,0
ASV5213,0,0,0,0,0.000198165553164987,0
ASV5241,0,0,0,0,0,0
ASV5242,0,0,0,0,0,0
ASV5265,0,0,0,0,0,0
ASV5295,0,0,0,0,0,0
ASV5321,0,0,0,0,0,0
ASV5439,0,0,0,0,0,0
ASV5450,0,0,0,0,0,0
ASV5482,0,0,0,0,0,0
ASV5498,0,0,0,0,0,0
ASV5499,0,0,0,0,0,0
ASV5510,0,0,0,0,0,0
ASV5511,0,0,0,0,0,0
ASV5512,0,0,0,0,0,0
ASV5633,0,0,0,0.000141546823689276,0,0
ASV5782,0,0,0,0,0,0
ASV5824,0,0,0,0,0,0
ASV6157,0,0,0,0,0,0
ASV6164,0,0,0,0,0,0
ASV6167,0,0,0,0,0,0
ASV6589,0,0,0,0,0,0
ASV6597,0,0,0,0,0,0
ASV6633,0,0,0,0,0,0
ASV6649,0,0,0,0,0,0
ASV6650,0,0,0,0,0,0
ASV6664,0,0,0,0,0,0
ASV6665,0,0,0,0,0,0
ASV6702,0,0,0,0,0,0
ASV6715,0,0,0,0,0,0
ASV6781,0,0,0,0,0,0
ASV6798,0,0,0,0,0,0
ASV6956,0,0,0,0,0,0
ASV6996,0,0,0,0,0,0
ASV7044,0,0,0,0,0,0
ASV7065,0,0,0,0,0,0
ASV7094,0,0,0,0,0,0
ASV7098,0,0,0,0,0,0
ASV7156,0,0,0,0,0,0
ASV7228,0,0,0,0,0,0
ASV7291,0,0,0,0,0,0
ASV7292,0,0,0,0,0,0
ASV7680,0,0,0,0,0,0
ASV7681,0,0,0,0,0,0
ASV7733,0,0,0,0,0,0
ASV7743,0,0,0,0,0,0
ASV7744,0,0,0,0,0,0
ASV7795,0,0,0,0,0,0
ASV7833,0,0,0,0,0,0
ASV8071,0,0,0,5.66187294757106e-05,0,0
ASV8167,5.66187294757106e-05,0,0,0,0,0
ASV8256,0,0,0,0,0,0
ASV8279,0,0,0,0,0,0
ASV8369,0,0,0,0,0,8.49280942135658e-05
ASV8466,0,0,0,0,0,0
ASV8541,0,0,0,0,0,0
ASV8838,0,0,0,0,0,0
ASV9322,0,0,0,0,5.66187294757106e-05,0
ASV9404,0,0,0,0,0,0
ASV9405,0,0,0,0,0,0
ASV9407,0,0,0,0,0,0
ASV9410,0,0,0,0,0,0
ASV9432,0,0,0,0,0,0
ASV9451,0,0,0,0,0,0
ASV9456,0,0,0,0,0,0
ASV9522,0,0,0,0,0,0
ASV9564,0,0,0,0,0,0
ASV9712,0,0,0,0,0,0
ASV10133,0,0,0,0,5.66187294757106e-05,0
ASV10155,0,5.66187294757106e-05,0,0,0,0
ASV10438,0,0,0,0,0,0
ASV10594,0,0,0,0,0,0
ASV10595,0,0,0,0,0,0
ASV10598,0,0,0,0,0,0
ASV10644,0,0,0,0,0,0
ASV10665,0,0,0,0,0,0
ASV10677,0,0,0,0,0,0
ASV10678,0,0,0,0,0,0
ASV10683,0,0,0,0,0,0
ASV10685,0,0,0,0,0,0
ASV10878,0,0,0,0,0,0
ASV10975,0,0,0,0,0,0
ASV11156,0,0,0,0,0,0
ASV11201,0,0,0,0,0,0
ASV11469,0,0,0,0,0,2.83093647378553e-05
ASV11627,2.83093647378553e-05,0,0,0,0,0
ASV11628,2.83093647378553e-05,0,0,0,0,0
ASV11830,0,0,0,0,0,0
