sample,NPSS1,NPSS2,NPSS3,NPSS4,NPSS5,NPSS6,Genus
ASV110,0.00184565693851655,0.000442188641519591,0.00157649863498289,0.0011343099934633,0.000807474910600992,0.00161494982120198,g__Phenylobacterium
ASV111,0,0,0.000307609489752759,0.000192255931095474,0,0.00103818202791556,g__unclassified
ASV112,0.000249932710424117,0.00067289575883416,0.000422963048410043,0.00107663321413466,0.00267235744222709,0.00203791286961203,g__unclassified
ASV113,0.000346060675971854,0.000461414234629138,0.000769023724381897,0.000365286269081401,0.00638289691236975,0.000980505248586919,g__Sphingomonas
ASV114,0.000422963048410043,5.76767793286423e-05,0,0,0,0,g__Schlegelella
ASV115,0.000134579151766832,0.000153804744876379,0.000615218979505518,0.00180720575229746,0,0.00082670050371054,g__unclassified
ASV116,0.000519091013957781,0.00494097742915369,0.0014611450763256,0.00397969777367632,0.000769023724381897,0,g__MND1
ASV117,0.000576767793286423,0.00067289575883416,0.00155727304187334,0.00176875456607836,0.000557542200176875,0.00217249202137886,g__unclassified
ASV118,0.000192255931095474,0.000711346945053255,0.00438343522897681,0.00188410812473565,0.00199946168339293,0.00124966355212058,g__Sphingomonas
ASV119,0.00107663321413466,0,0.00126888914523013,0.0014611450763256,0,0,g__MND1
ASV120,0,0,0.000403737455300496,0.000903602876148729,0.000499865420848233,0.00132656592455877,g__unclassified
ASV121,0.00059599338639597,0,0.000576767793286423,0.000403737455300496,0.00680585996077979,0.00198023609028339,g__Sphingomonas
ASV122,0,0.000730572538162802,0.00215326642826931,0.000788249317491445,0.00117276117968239,0.00674818318145115,g__unclassified
ASV123,0.00144191948321606,0.000422963048410043,0.000576767793286423,0.000326835082862306,0.00136501711077787,0.00878609605106317,g__Sphingobium
ASV124,0,0,0,0.000980505248586919,0,0,g__unclassified
ASV125,0.000461414234629138,0.000711346945053255,0.00249932710424117,0,0.00334525320106125,0.0135540431422309,g__Gemmatimonas
ASV126,0.000442188641519591,0.000961279655477371,0.000576767793286423,0.00251855269735071,0.00207636405583112,0.00107663321413466,g__unclassified
ASV127,0.000461414234629138,0,0.000480639827738686,0,0.00126888914523013,0.00353750913215673,g__Sphingomonas
ASV128,0.000192255931095474,0.000192255931095474,0.000557542200176875,0.000499865420848233,0,0.00074979813127235,g__unclassified
ASV129,0.0019033337178452,0.00305686930441804,0.000922828469258277,0.00130734033144923,0.000442188641519591,0.000422963048410043,g__unclassified
ASV130,0.000769023724381897,0.00105740762102511,0.00196101049717384,0.000903602876148729,0.000173030337985927,0.000442188641519591,g__unclassified
ASV131,0,0,0,0,0.0089975775752682,0.00536394047756373,g__Gemmatimonas
ASV132,0.000269158303533664,0.000134579151766832,0.00059599338639597,0.000961279655477371,0,0,g__unclassified
ASV133,0.000845926096820087,0.000173030337985927,0.000788249317491445,0.00159572422809244,0,0.000384511862190949,g__RB41
ASV134,0,0,0,0,0,0,g__unclassified
ASV135,0,0.00346060675971854,0,0,0.000346060675971854,0.00540239166378283,g__Massilia
ASV136,0,0.00074979813127235,0.00082670050371054,0.000980505248586919,0.000980505248586919,0.000384511862190949,g__Devosia
ASV137,9.61279655477372e-05,0.000115353558657285,0.000461414234629138,0.000499865420848233,0.000538316607067328,0.00198023609028339,g__Gemmatimonas
ASV138,0.0010958588072442,0.00305686930441804,0.000557542200176875,0.00119198677279194,0,0.000307609489752759,g__unclassified
ASV139,0.000769023724381897,0.00178798015918791,0.0014611450763256,0.00161494982120198,0.00119198677279194,0.000365286269081401,g__Dongia
ASV140,0,0,0,0,0,0,g__unclassified
ASV141,0.000134579151766832,0.000211481524205022,0,0.000249932710424117,0.000769023724381897,0.00251855269735071,g__Noviherbaspirillum
ASV142,0.00317222286307533,0,0.0018648825316261,0.000499865420848233,0.0010958588072442,0.000269158303533664,g__Micromonospora
